timestamp,ema50_dist_xrp_btc_15m,ema200_dist_xrp_btc_15m,upper_bb_dist_xrp_btc_15m,lower_bb_dist_xrp_btc_15m,width_bb_xrp_btc_15m,rsi_xrp_btc_15m,stoch_rsi_fastk_xrp_btc_15m,stoch_rsi_fastd_xrp_btc_15m,kijun_dist_xrp_btc_15m,tenkan_dist_xrp_btc_15m
2019-02-10 09:00:00,1.1998846936049024,2.0477359845868737,2.239845314781874,-0.755564057282454,2.9733429857351035,36.097104469449135,100.0,79.64649277228521,0.5099592032637323,0.5939524838012966
2019-02-10 09:15:00,1.0945312782335348,1.966782293958813,2.123838476036699,-0.8826824621261276,2.987978202584966,37.44137891874182,100.0,94.33011067655447,0.44969420793858905,0.5336371267538054
2019-02-10 09:30:00,1.2149502917747856,2.1169817652369805,2.2315572466540257,-0.7949206100173911,3.004893158666804,35.20805287987727,81.06191843035027,93.68730614345013,0.6186186186186049,0.7027027027026955
2019-02-10 09:45:00,1.0622881881737323,1.9867370406928542,2.04773577831876,-0.955823131330491,2.9872498303021393,37.77754104470173,100.0,93.68730614345013,0.5099592032637323,0.5939524838012966
2019-02-10 10:00:00,0.9158843465151056,1.8580451648801954,1.850590772662808,-1.0930694973421806,2.932552913888616,40.326100063022395,100.0,93.68730614345013,0.40153422030444474,0.4854368932038833
2019-02-10 10:15:00,1.1012803329041532,2.0697404922220386,1.975161610513898,-0.9071654548194696,2.8670172483357126,36.89082390745021,32.87916205842499,77.62638735280836,0.6307063911580979,0.7148005766458576
2019-02-10 10:30:00,1.1398477888746816,2.1341982234995394,1.9336023929696022,-0.8550885057506119,2.7737333490383076,35.68471429709538,9.313345503884054,47.39750252076971,0.7154021882890271,0.7995671516171532
2019-02-10 10:45:00,1.1302117122157895,2.1494495278863823,1.8360607390805583,-0.841353017165658,2.6641634365324047,35.154252407544185,0.0,14.064169187436383,0.7517440461871638,0.8359393793601289
2019-02-10 11:00:00,0.6669776414059969,1.6920392954953511,1.2401254259882366,-1.228149378083987,2.468127012035579,45.60398098712045,100.0,36.437781834628055,0.31736526946106736,0.40119760479042643
2019-02-10 11:15:00,0.5829405944104415,1.6149516304532652,0.992895055573606,-1.2155162404927977,2.210872231045314,46.88424360881613,100.0,66.6666666666667,0.25733093955715436,0.3411131059245953
2019-02-10 11:30:00,0.5138361250845325,1.550740884413293,0.689688186338655,-1.1299322346697949,1.823634642496897,47.93987387980621,100.00000000000001,100.00000000000004,0.20935518602702707,0.2930972604378468
